amfi_code,scheme_name,start_date,end_date,years,cagr_%,volatility_%,sharpe,max_drawdown_%
118632,Nippon India Large Cap Fund - Direc,2013-01-02,2026-07-24,13.56,16.32,16.27,0.6,-33.78
119092,HDFC Money Market Fund - Growth Opt,2012-12-31,2026-07-24,13.56,7.3,0.54,1.49,-1.39
119551,Aditya Birla Sun Life Banking & PSU,2013-01-02,2026-07-24,13.56,0.25,7.26,-0.86,-36.69
120503,Axis ELSS Tax Saver Fund - Direct P,2013-01-02,2026-07-24,13.56,16.79,14.91,0.69,-27.99
120841,quant Mid Cap Fund - Growth Option ,2013-01-07,2026-07-24,13.54,17.66,15.15,0.74,-30.8
125497,SBI Small Cap Fund - Direct Plan - ,2013-11-18,2026-07-24,12.68,24.23,15.18,1.17,-40.26
